,address,unique_sent,min_coin_sent,max_coin_sent,avg_coin_sent,unique_received,min_coin_received,max_coin_received,avg_coin_received
16190,0xb48165b3b43179362930b0d5fbbd3fdde29a9e56,3,0.005,0.47,0.07480213607142858,1,0.005,0.11,0.041666666666666664
16191,0x98f3790360d7d3c4d69caa8e57d28c311e6859e7,1,0.001,0.0441677,0.02258385,1,0.04155633,0.04155633,0.04155633
16192,0x15399247cee8306821b92362a9a0b34ac9f9fa63,1,0.01939340931,0.01939340931,0.01939340931,1,0.02,0.02,0.02
16193,0xf46b3a61206624f3c17146a14ac619f09dc2bf94,1,0.005,0.005,0.005,1,0.018,0.018,0.018
16194,0xba2c4589814e238558dfc56fae0da6e1f6ff663e,8,0.000143500489450631,5.582,0.5095994091354048,3,5.582e-06,0.0025,0.0016811163999999996
16195,0x0834ef854bbb11bd0f654b320faa23f82f2a4299,4,0.003217835271449588,0.01595300379886581,0.008728016864434834,1,0.005082654516082953,0.005082654516082953,0.005082654516082953
16196,0x65ba7551f4f18b4c41fc6c87634cb275902f355e,1,0.01,0.01,0.01,2,0.003,0.048,0.018000000000000002
16197,0x3fc23568068fb606a50920228bff6bf70ad8ecb5,1,0.023,0.023,0.023,1,0.04646475,0.04646475,0.04646475
16198,0x066565233d331007fbd19d32af783d70e5ee25af,4,0.001,0.01,0.005999999999999999,3,0.000937,0.009937,0.005187000000000001
16199,0xdaeb3ab7be03447770c1d70d4bacb2e5555a0ddc,0,0.0,0.0,0.0,2,0.1,0.1,0.1
16200,0x1a8175bba78abd9d87bfc36653ddddafe4ce55e6,2,0.01547525,0.016723655,0.0160994525,1,0.03247525,0.03247525,0.03247525
16201,0xb186f629df816099abe2bfa70ea8a4b81faf42c4,9,0.00890030627905287,2.25,0.22204481278904475,15,9.8204858552717e-05,0.64665627,0.09661923118321579
16202,0x8515455ce3373a5f9f4e9da406dad2f13bf93c35,0,0.0,0.0,0.0,1,0.055861434332,0.055861434332,0.055861434332
16203,0x33dca3347e8a25966ef0ed7e48d89fb7e7b4d3a9,1,0.1,0.2,0.14285714285714285,2,0.01,0.8,0.405
16204,0x47d8c90d6dbfde89a41dcedf524805cdd0ff0416,2,0.000557901315404319,0.001862108665727427,0.001210004990565873,1,0.00196446823444966,0.002750372701005058,0.002357420467727359
16205,0x2b996c883a956ad8df3fbfdfdef8c704a0d172f1,7,0.00035,0.26,0.05718798034529537,12,0.000175946,0.26345766,0.06352672348758807
16206,0xa1f4fb196e5b02eaa35ac3d567473dd041223a8a,1,0.005,0.005,0.005,0,0.0,0.0,0.0
16207,0x847252b02a4699cafbcb7d505a4cd56f7b335a10,1,0.10704152,0.10921443,0.108127975,2,0.1073271,0.1095,0.10841355
16208,0xa8fa506a9922788dc907515aee10a65769afa322,4,0.000549933839661703,0.06,0.009431970785001983,4,0.000375256080459343,0.01736735,0.005240966573188212
16209,0xed97f3f24024e17647ec1ce5401042870387b663,5,0.002,0.020895,0.008076544285714287,5,0.00883806,0.04,0.02347790333333333
