,x,y
0,0xe7c7acbaee750525fa15c20efe8a2264f2155581,0xdc850d6f5e477a63fe66947860e0d67ce7cef2fa
1,0x391ef2acbf60cc4d44bd8cc5389c20b1a9cda4d5,0x78894748c02d5a39ca8f229298f65511c8c7df57
2,0x63b655276c4e2b322dc29df6f4dd5735981ebe95,0x3c31c574f23fdc8ecba0614a055c2155f4e5ab46
3,0xb18e9f2e48e2fb72618bc7feb4c986da276432c5,0x9628be77fb3dcd890fd93a5d039092fca855d3cc
4,0x7e09e0afd672caa6d8945840c64fa855267e66e6,0xba1da0a3fb6a94583f802dd533d9de23ccb4b798
5,0x7543ffb98a0c2a25e5f938397e63a0b97ceeefd8,0x48a7f73944073833e5773346d94b31a6a21c7a0c
6,0xa6011739f9828c0503ffca51246f815fa188a51d,0x294e0a2dcd37bc95240016f5cb68864501bd9ff7
7,0x3a2513fe1f7526cd5b71405b8ab5104be6ac6b6d,0x44bf09b80178ecc39c6d46b6a61c07ef73e0cc30
8,0x4c632cf578751b2334b8d91f9328971526c33956,0x52964bd68aca2c967d9ee6f0224dd7101d9b5765
9,0xd40b679bae9e8d6d84bd77d315196b2b195e2aa2,0x3b975abde09b4d17c15cffdc80a474daca2f940d
10,0xb20a3309f48202a8994295d00afae1b32fdaf524,0x8a9a4eaabdeb3fdb8583be768d300d12a4eac81a
11,0x1e9f857a0e65e213649b79bd33907f8273b24bd4,0xe0a47134a8e19d2714744f06d72efb03f09becde
12,0xe08524c9b0f9892d57f120bf72358a04d38ad66c,0xbada35f76453fe45025764cfa7c6c2820c61dbf2
13,0x5f631b027b00e96589f3982a3cf1e1504b527e27,0x854e698a78e8346c441695bb9eff164757803474
14,0xc5cc8869912edbc1ceecc65daee2bd56b8835859,0x7d23f69f7c2beea93001af16a09fe05ad4243ea0
15,0x75a49de74ad5e136bc1222e85746fc280fc411f0,0xa81d4650d10b19b2512948056c034f77b4a0d76c
16,0x2816adab04e39e2a9baa0b7a4354fe2c6a32e5db,0xddafca573e525c499853d2d0d5ea8580d19843c3
17,0x312c09365a2b2471e12c9c051ce1144b644bbc02,0xd33ff91efcc1324266851eadfaf227d0846da21f
18,0x4ba59b10c0311c99e1c6e822d52e921d274ca7ad,0x5b6586511cc7809ab5cfd94de145902df6b279c4
19,0x2aee1ea25d8098bebdddbb442798502143762b61,0xcb68dc56f0deded9088d524e790c65e7165bd041
20,0x35671e49975613d0112e49528ca9489c0e6d3192,0x1a3763dbe16c14576614f0688b3a19ea449bff28
21,0x08e6b7b35d6b146087fe8e93f520ac46a586782f,0xaf9e50c42b568f668b5a3b2573c7098e5460d174
22,0x561fa6729e91dead8aa0a2ab6d1d9983bac6d05d,0x221d559d46709f9a7284df843fb42c0f6c4d1253
23,0xc8927e4318c0c48ba18d8ba08fc38f26c2d3b6e8,0xb30312a0b1937c3c28312a30390a28de770bae48
24,0x83504273d89b678c31af378c07e3af44e71ffcbe,0x48071b4846562874ae9b92644b45719659f7bb3b
25,0x4f4c261fc1a357187aa6cef9d2634a508949a562,0x6f385eb8615a5b9076b6cbbec329b5bc83d4c205
26,0x9f2cddc98f269b5c1a97ecf01397a8fcd9954f23,0x30fe825dc9628055a37f99a13377911b0ff28e56
27,0x7db39b11fa45fdd7e478c457a8c9e62772094a1b,0x423a8630a42947acdff3ed420078537fcea28256
28,0xf096a5c755209dacab3f6430f4e85b38764fbf58,0x46f713db2a3625800f57eb11d382faf97705c0df
29,0x7c8219f26a7c491fb00b5a28888d46dcf56d91fd,0x0b7f8d95a2deba852ebe3f3356cdcc026c72712b
30,0x707fecffe09f8829199dc985760e86857c26d6f9,0xb70881a9eccbf2a1beff1e1732b9ef534bafc1d3
31,0x5ef7b011f35abcca6582d1f01bc8eabec9cddbde,0x57f7defe70c051c385494221a0a8a5ff10e78af5
32,0xddb8fbea366281a9323ac01e109b684e067524cc,0x28854a72fa42b43a2d29645f9ee54fc55cbd5785
33,0xfa5c6e2713ffeb3b816b4ad2b920b666df85a3a6,0xbcb1ebd99f0756282e17d798804bb033ffdc9a4f
34,0x708b149bfa0a3da8b63c76e2203b197074158028,0x10dbe75159161fd2861cfc35683150e2022a4e4b
35,0xdcc6f8543086f53740e9f4a75ba10065e6eb1e00,0x63b166b2735b4754074b32b8e4fddb955b2dd692
36,0x77f5f0b81cededfd9274aa4821061ab95a5cf90d,0xcf7dbf555a52a058d7963486fb10be075c2af739
37,0xac0b0239e3c97b447344bc6a074a273eac8065bd,0x14f9434e6bd0910edbf17ce201b7eb3cf1130a40
38,0x8e0d8f0114fc12842e31a84deffebd6768ccab79,0x9af28e7d80151449f1cb84f87ef9f5b7a8505628
39,0xc72d4ad00e3e0c482ffbddbbaa5ba4140535d363,0x20f5d1e3befd4f5887faef80deaf9d7d2f4c19d4
40,0xfc9e41580f4d99cf1c243be3017be193bae27613,0xf22de3cf2a2ecb5119a6e3bf8836cfa8de31269c
41,0x2342ec603e756635fc7b517f669021a4cb903c4e,0xb4a3c2debfc033ee3399ad6adf0b4fc74db92baa
42,0x1501925f23403c6231824304f4658ce47d18a718,0x9908e05842d8b8ef84692a64eb01f389ac8b7f0d
43,0xb900f9d1807edc916129d15d1025e1f779ff8c91,0x2cd6389d2ac3d7b3b8f565be871c19e8173c5dbb
44,0xb50864c742a88d32047fe1e9f99d1c2ea4603797,0x5b3958ec1fd3fdce2283dfd79dbbdce0f82fd740
45,0x65165a525b6a7a0bdeab6c383777afb5bdda62be,0x5732944e6dbc17339de86dceb262546729b166ab
46,0x95f217683ece1f9c2d5c4874452c78f23f65f029,0xa226975ee54b7ab070edeb906581d02d55bb8110
47,0x7f383a0d17963e19be5faa9833b9411699fbacf7,0xa28de403dacb56b56b076757bab0d600665b1aac
48,0xab4c8346de12fc1d0999ca2b3f32562fce2664fc,0xa5f112d73a91d59b1a165bcd8e4b6df534f13e7f
49,0x62e74f1ddf181247ea547126099f808cf8bc6460,0xfc35809fc069c5d079875ff0df111428e5df96f4
50,0xf1d47c74db59807a1234bac80bdb4b30c0677d0a,0x6be69e6553649c70cf8de22138f14fd2de2e499e
51,0xddf6e6ca2a51dd7367c11d4db2951416fcc08bbf,0x06a636d56b04bffe4e3997a0162c5b31c7a49053
52,0xedd7b2abf9eb1ea74e402fa1f6df70e275e92e87,0x257ac3ed7575440ac4310c49859e0d7ab2db60f0
53,0xfe2d1cdb3c0fb9b498150e9b524473e1e04da15c,0x7021257c29e5c600757c93838f0f2ba99815c54c
54,0x01edf3e29f7e9beceadeae6c73b9c52bc85f6573,0x0694325b84430a7ab6e52acde646115d82f9eecc
55,0x1ff2e83178f70bc5711efd2591f395fa6d8a37a5,0x2091a318fb41a80277a89675ebb9219fcaf40a78
56,0xf74f0c1bab562ada6b852291cfa728cc32fb2cbe,0x386a7b378f9397b34c6e4179f9e442da523a5186
57,0x826f33473d2d788b9a591090d30abb788b9b231e,0xa040bcf17bb11b3d4692f4a6638103ba116f84d9
