,x,y
0,0x177a1b54de2a26924fd3d036fcba5cd51afd852f,0xfd4f24676ed4588928213f37b126b53c07186f45
1,0x2bc99f6c868b14ea6bde976ce5310f6115dd1382,0x1dd0502064aaf50405c60c0f5cc5faf54d5d7d50
2,0xa13abfc47e2242bffc06fc3a2f5e7b8c656902c8,0x0d75c1e9cca2256b40541b9b5dc5b7fbf4713f7f
3,0xffb4993c77571e9cb6a8d4a3204c364c64c85989,0xf8e7068e9a2c5b81c48a968ffb6b6ea1d99502cc
4,0x651d41faa4a4ad0bc741a8459abfe887e9de7a0e,0xe829931da95bd70b7766b363bdb813b21b883e24
5,0x42bdf57775bf588ff4860faac41af8ad1f8198e5,0xb4c1bba1f58fa821e48760e4610ba7a306d7c560
6,0x6e4c15e8fe23e4fd863d1f03f010059d8ea2fe1e,0x82a5cd445b11db11ae7b31d3c53f051554e642db
7,0x097116627fe9d707b1c571a7a1313ceaa99f11a4,0x6e0ba269d7858a2db0ace0f435a4299d6c5bd529
8,0x5ae9ba42687c6f20136b1c34350048d7e0d3bb0b,0xf9456a97fdd2d12cb3d7b07842575cd04e845e5b
9,0x38ac78c059314f933dc7bd348fc1e7f11c33c002,0x23956d524b1f864f7ce12c153661258b0d30cb89
10,0x70031a1afde331a41c83fc388081b0b9c60de151,0x2f1689161ed466ee3a4acbac68b278c295ead606
11,0x67042582abe90a5f7d511459affffd54bff001b6,0x54937eef13de966a5f0fa8d809eae2651e97c85f
12,0x539aa604bfa9f5e1b7c053a74cfb2f88f5f2f1bf,0xd568f50e45e0ea2d0a0124f72c43296042116e62
13,0xfacee442d659400700f2d90ce1e39fc14e66724b,0x18a0609b14db84bbcc3d911915a07ca9a28b9263
14,0x467a755ba59267678e14e414ed214c3cea836498,0xc8810fde8e6f0911d8b180e03c367b2a2838bad6
15,0x53fbb9632ddd2a08d9c40fe0db24115cb1582d89,0x0a8e901c6508ff196a8040626a7cd79f6839e211
16,0x545408ef9b2f4327eae488e7d89ff681bcf5fd14,0xfad8953f2a3d9122ad4278840046dac46498ad61
17,0xc35dbe977b0ea1a08297ce3d045d50f2fb05de77,0x03b9a403bfd5ead5cfa5c378d104e7828def7629
18,0xa02495e40ce5b38ee019f7a9cf1e57783e71aab5,0xe17de8dca0a53736146b042ad0e575248e815e14
19,0x383d8ee00c3ea31dd4eb6e5ecf649bc9c08d8e31,0x9440233a5fade0797cdb855c645ef4743c36ce97
20,0x94bd0964c243434d58d0dd16ea1267870f9e39a6,0x81a3d721df1511d9e303d01112057ca9c5287c04
21,0x339892b4e37d3c47696eb36f1180a31cb37cf4c1,0xd385c355b663f6e5c824c7786543cb92569f434d
22,0xc1490190e1c40bebfd836053bdc2840c96f516a9,0x5d05ce6e00ceb326c4bef252476a2d61bd901fdf
23,0x1add59081f1cc8e7e5d24e63e28f1883ac781629,0x5684cc6d9898f699e2b7872f2023bc83b4141439
24,0x55e7353d42589abcaa06a6a4ddcb97832dc8832a,0xbc066e7eca42fa0cc69b6cb275f5dc827c5e146a
25,0x7d5025848d581d2db361c477c16b82efff749db9,0x062658be4b19601b1f059efb831a19ceda285f97
26,0x45ee6b9dd3aa4e676712846270720f51a66eba89,0x24ac85281b2c77d80ffd4a9987b75a7fbb108075
27,0x01adf2176f32b2d2e97a189625a4f5b9d9d121e2,0xc250130699783f9774c5d2cb6c8d0764531ae8b4
28,0xea8480be7ceb0cd7014ec043c84cf48b344861f2,0xb14fa11230e7481065715031121543db723cc45e
29,0x298e297e2ad142752b1cbadf93d14a6e5217b760,0xb2c5b64109d3ae6f96a26e9542622719cd358ae3
30,0x7cf45b515e1fff5685f5ecd406cf9df158d1e226,0xa7d222ecdcc75914e6dda8d026a597b5d0f1f3a0
31,0xab024e0db57686e38bbb298737a2bf978f748328,0xde148fb4b6d8902cad41f60b1ce170274779161a
32,0x6daacc911841d091ee64b547936d59f1994c45f5,0x29a2600b5df2e5a20260a9c1bf836d1b53571689
33,0x2e6c33c827cbcbbaad089821f02a14da849674c5,0xe07048cf03f82e4a9f37a4f294f36e7cb0ceaf34
34,0x8c4d187e1b2692da11c97118a0549fb524f637ee,0xa97e585b511541b4835f12881d4b1b2df7f51171
35,0x2ebc0ab4b8f12ee63395e191555c7db9ed4e3aae,0xc70ce5b3cecbce95ba09aedafb650aa2bfdcbe78
36,0xd77bcf7b5c9a3d0172a5860a6218168efc96b8ce,0x8295f13bd49dc44c1ed10b7e7cfbb8b6d9bd0428
37,0x64a4932948e80f2bd9c68fcf9236e814569dfb6a,0xa8d8b18d1fa3ef1f306735988f625e4060511620
38,0x1f5351d211b1c16060989ed40a1cbbafde8a9bcd,0x241ec774ae2cead1ab97dc9113b501c1336a25a9
39,0xc1e506e5cb34e23a67eb73cf57aced9fab278c61,0xdf878181a17d1e4064825c5724bae5dfcd1b5827
40,0x46abdd667222d413e77d382bbb261936a935dc54,0x5329b31d1e1dca1adb59ae74888bedf0f29a196c
41,0x48eb33bdd84428016e2d7d6b92f42f78f67c98b6,0xa500d0780933dad902fe7253b5903f2763402dc0
42,0x221dc7570952f93e0d7016fa3bf529dbbcbdcc51,0xb81b35b3a310db5d9f231e686740ad1d8740be1d
43,0xe2a293e53bc5a5da2f12ce8670bf965aabe6c43b,0x5cb876e60772513640266e6f2332f5d9813f6fcc
44,0xb0b89415d02e5888c57042c78319d72d0cdc019a,0x62763a0d45eb16efe2b9f2f30743be0e6ec3a207
45,0x8ca5f0042d96728d6cff56def8d609bb12e28d6f,0x105855b222d3a699af331dd0c794211ecc157989
46,0x0beb88102547b2ddef5e9fa56b3fe13bda4ebdd0,0x656b4b9b35f993b92409ca7157a94fca91518672
47,0xf6f7545128934d97668c92f34e759f8fff6ee9ce,0x2bdeae6d70ea59df6eaed685d637097c19e398cc
48,0x1846d793c15b2dfd3fef6555e9cc7466acaa5104,0xc8f0bfe2ca98c5a20a6c16ea0ae06cdc8123f96c
49,0x5117616aa586c626395460243189d2e43b45143d,0xd72f98354c208f3f12425dfe30cbae570d602987
50,0xf1094ccf303a6536e852676b59886c39cd389c61,0x585c6fedbce749363c6957cec897cc13332ece18
51,0x21d9c1d2cdcb44b04e6ded64dd89bcf5fcb09ce5,0x282b49d33ef1962ebe758f5cd1d9c59d35919dbc
52,0xc18093713dcf0aa3c4b925a4136093b624833e80,0xf0289eefc1422e6bae3d140e0dae158119f660d1
53,0x9bb85fd7bc33e1bb9db5c9c1a12924e48164fccf,0x4329fea70d200166402f842dc6dbc1cfe62419c3
54,0x91a7c0f1ce9b83075a917a2166e8cdf71486a3b8,0x9156da975c92a602b62e6b081e6295c2cca5451d
55,0x43f6b4c25d5da4f47fa69d04ae4008c79fc537bb,0x09e57bcaaf290e89407dbc5c5606430cb28d34d1
56,0x1161e7f23c12526e6408715ac1ccb93792d5552c,0x7e6d85843fd4c269298c1da6c7d91564d92cf410
57,0x699075e4d86e333736ef85834624f6addd0dcf38,0xc9bdc883304c2d68c5b09a6be79454287b99aa1b
58,0x7fc0215cbae349e13c8144aa645907e46c7c9a4a,0x24d49b4bdf29ce30972df9930de62d0289cf0fc6
59,0x7bfcc851ee0eed0631fe64593ff58a93d1c68d98,0x0d3638fa31d8d323e42cc5f44a68462b625d3bd7
60,0x5e1739070ea0cd5123a6023e0f5175c947a9a8e7,0xe4e5060ed422ae5f6417d8a8f8b5c892ddb6a0ca
61,0xd8d19d3159c23cfe8791ff4ec088708cd81915f0,0x38ebefce0b267fc952b112ec2729696934d1846d
62,0xdebf4ab0c5118e39f9304d3adb61853f6553c7f0,0x5f1c84b2fe3780d403dd9736ef7226063351b809
63,0x0b742bc4e6690cfeb4cbbed384119d2857eb64a5,0xad5c10a8e16fd8e7f8762a26d604d83e0912daaf
64,0x5b1e59ba6f56678c36c1cce06b5590041a6e0707,0x8a847f48ba6677bf91c1e1967c221e53f4ffc555
65,0x82d362a455d0c3adf85d5cd03bc94036efc6704f,0x91590663627bed789aaa504b38cbd47ae4bc1184
66,0x4efc6ab85e86c0537b39dc71366b49df42d3453e,0x5f3a94c12e49970cf19dd2153f6ac3f48381a4a2
67,0xbfa85a9a95fc79e89fdb7ed998ee9ac83c64e6c2,0x547dd65aa7f15baffbf86adbcd1c0ef025e14147
68,0xabb9f798b89f7cd1b68ced86bc7a7e9249d38d74,0xffe54f84fa4a3b608da61772ffbf9e2fb2b34118
69,0x4dc4cfbd066a36d22bab2075e131d7016a244e65,0x1cd5fa70a3f4b0b22f1ef70b7dfeef1b871cdcf2
70,0xefb03337242785249b73008dcddf617c3b354f63,0xe00b8cc618af77fb0f8471f420752aaef1bcbe72
71,0xadbe1e76bd4eb7488505d880a7f7d60e02d5d62d,0x1611009da0dd85f772ef8fcff5de1a5cfdff8f97
72,0x8018215904b764a90a2613a241c0d78d97da0134,0xb22c10eddf2143c419bcdab43841dc886842e4e9
73,0x8d2687950021237d55575d2a75e2d758677cf745,0x8a854a22affe9139d26909749b2e209ef53fdb09
74,0xc0d92f633ee8c8439783f5d2c06aafdb70e781b8,0xf7c7ca163ddfe69218377ab7086bdfc9a50f4e1e
75,0xeb2fbba55dfda7e40c0b2d7c5ea0e4d1b3ea517e,0x64e3ae78ea6b4c093f05b2cbf4e05be288891047
76,0x5a657ae8f7a35576d38c5f651dd0e3b6ce28a64e,0x358e3f36a5e72d2af8d59e22e46f9957d622723e
77,0x8728939813e99bd47e19e174b8b6d131e83cb529,0x8ad1c72a51c55da9bb35adc2b8307e699e2cc57d
78,0x9671df3d490ca3b0538f72489a2375faa2a78673,0xb6b671ccf0f8b561e3380a37b7a8ef43cf27b73e
79,0x385e8ccb8af5ccae2c64511428c262a7d622249b,0x8a8ef1bbe363a71feaf37453fb2d58c169efa532
80,0xc6a57b5da88f3dc1aebcbb849e2fc5b70079bee4,0xbb253b697483683528288bbf2a44ec6704f467f7
81,0x4f7c77f46e9e7a7e8c322454ae0981e2d3cf81f7,0x4f4341bcd083b59d54d6d0b26fd1357d2fae1b73
82,0xc5d132afe5235bd283a9c7c3d6ea05ed1c76bdf7,0x2a9d776a3cb1a76ea6dcdada14406200537ee3a2
83,0x2f020008619f9a584031df3ee7e28cb4942b9abd,0xcbccec7d81d4c07d0cb879215039d91797106fad
84,0xb8f0dddd4cff7af13c08d0cbd4ab52ee6b8689d9,0x72875d9aea7cc7f8f921c4b65e71b71bc1361a28
85,0x4009afa1c009fa68371e5518f4253bbf2a33f963,0xd3aca3ef403237eedc9ca1e5aff3f2868b87901e
86,0x8cafadbe9b5cd7cf17a1945cbbb059ef1bb18db3,0x823f175423a6b4fcf9beb82deea82870b30a5265
87,0x7fb24df7aacdd07c3ff2870e7ca635edd9c75273,0x659c9e3714584025044489e426518167e411de1c
88,0x7ba097e16e36d16e941686b0f53ed4f8161f30d5,0x9863734b133b5687025b5fad299b58e01b1c012d
89,0x5833869fdeb4d371b854d7474f5f84b43320fd05,0x5122b4d90185958faa110a3a02b647c755b977fd
90,0x98cd9581e0b3eb81ead5ce8fea0f9e6e3fe56326,0x5d451e1b40f283d4f4e2b246b091f7758436fad3
91,0x78c9f20356148e96ac45c917deda8a28bb8280ab,0xf25c929ddae44c8439cec27934526f81e933568b
92,0x1ac1537449da88d8b072ef6e7d77b2b22aafb978,0x5a6252105bd1ae8a7afa3615a2979e191ea79a91
93,0x54eb63ad1799c52f9fc2d3360c94f954b448e99f,0xfe464e6841a691f67baa6a70ac31753913af138e
94,0xecf7cca3afab6b3fc7637a27192500bc9d8415e5,0x338fe103f9f76614c2aeb738dfdabbd33b9e2f08
95,0x1dd4293c6381675f9f71d6b58530a7e89c47ddda,0xc21e4c1a431a9596f2c8c9006c780d24c806f9ce
96,0x3291c509351cd270534b4690523a46ff409200e3,0xc23badfdf36478930a0bddcecf61eea5e170ae84
97,0xf772e3055d823058c961aca526a69565784f6e21,0x516d764d93a07b772d0fad92eeae27639af81b66
98,0xb5e2f2cb5d6f0d9cbd063f68c3cd949355a48707,0x0806578d71735b4aaf91d0484093bd4137b1a316
99,0x1b667857fa7c04b0ac3a60c34d2344a5715d0cc7,0x1a12385477999063574c01bad5a9509715fd1190
100,0x2dc840d194f4a36d14e7078681f7589c02c54b11,0x9a7cbae6764cf078e686845dab5c38c32e7e8b49
101,0x32c96bf1a1855d99ed6c00ee5deccbe8f0b88ccd,0xa17c2380563d6ff3fa677aa510dd89e26ab170bd
102,0x748818a4aa6dc922cdb1eb914c3ee962fe91e3de,0x08ea09053c920c5027964a30f74cf2871b6f4691
103,0x91de9d9ef895ddf2b754a780ed1bb783a18fc28a,0x3489b1e99537432acae2deadd3c289408401d893
104,0x5fa2a089f490dcc68a1df68bbd698370353cfe20,0xe5f884404932f1e2feb2319001b2b475c5e9f160
105,0x6896fd285f733ee6f68b816902d70125a1d24e95,0x36ddefb85d223ecd029ebe28b04a9821a57788d5
